administration_type,government_institution,sector,project_name,project_description,gps_code,nature_of_investment,infrastructure_type,current_project_stage,sip_category,project_value_rands,br_featured,featured,financial_year,budget_phase,amount_rands,project_slug
National,Water and Sanitation,Economic Services and Infrastructure,Mount Ayliff bulk peri-urban water supply,Construction of new bulk water scheme,"-30.818869, 29.363948",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 6: Integrated municipal infrastructure project,322797000,,True,2017,Audited Outcome,30492000,water-and-sanitation-mount-ayliff-bulk-peri-urban-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mount Ayliff bulk peri-urban water supply,Construction of new bulk water scheme,"-30.818869, 29.363948",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 6: Integrated municipal infrastructure project,322797000,,True,2018,Audited Outcome,54662000,water-and-sanitation-mount-ayliff-bulk-peri-urban-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mount Ayliff bulk peri-urban water supply,Construction of new bulk water scheme,"-30.818869, 29.363948",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 6: Integrated municipal infrastructure project,322797000,,True,2019,Adjusted Appropriation,80000000,water-and-sanitation-mount-ayliff-bulk-peri-urban-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mount Ayliff bulk peri-urban water supply,Construction of new bulk water scheme,"-30.818869, 29.363948",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 6: Integrated municipal infrastructure project,322797000,,True,2020,MTEF,75000000,water-and-sanitation-mount-ayliff-bulk-peri-urban-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mount Ayliff bulk peri-urban water supply,Construction of new bulk water scheme,"-30.818869, 29.363948",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 6: Integrated municipal infrastructure project,322797000,,True,2021,MTEF,0,water-and-sanitation-mount-ayliff-bulk-peri-urban-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mount Ayliff bulk peri-urban water supply,Construction of new bulk water scheme,"-30.818869, 29.363948",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 6: Integrated municipal infrastructure project,322797000,,True,2022,MTEF,0,water-and-sanitation-mount-ayliff-bulk-peri-urban-water-supply
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives,Construction of new building,"-25.732998, 28.205532",New infrastructure assets,Library,Construction,Not related to SIPs,243010000,,True,2016,Audited Outcome,0,sports-arts-and-culture-national-archives
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives,Construction of new building,"-25.732998, 28.205532",New infrastructure assets,Library,Construction,Not related to SIPs,243010000,,True,2017,Audited Outcome,0,sports-arts-and-culture-national-archives
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives,Construction of new building,"-25.732998, 28.205532",New infrastructure assets,Library,Construction,Not related to SIPs,243010000,,True,2018,Audited Outcome,0,sports-arts-and-culture-national-archives
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives,Construction of new building,"-25.732998, 28.205532",New infrastructure assets,Library,Construction,Not related to SIPs,243010000,,True,2019,Adjusted Appropriation,15000000,sports-arts-and-culture-national-archives
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives,Construction of new building,"-25.732998, 28.205532",New infrastructure assets,Library,Construction,Not related to SIPs,243010000,,True,2020,MTEF,65000000,sports-arts-and-culture-national-archives
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives,Construction of new building,"-25.732998, 28.205532",New infrastructure assets,Library,Construction,Not related to SIPs,243010000,,True,2021,MTEF,80000000,sports-arts-and-culture-national-archives
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives,Construction of new building,"-25.732998, 28.205532",New infrastructure assets,Library,Construction,Not related to SIPs,243010000,,True,2022,MTEF,83010000,sports-arts-and-culture-national-archives
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives building: Pretoria,Upgrade of existing building,"-25.732998, 28.205532",Upgrading and additions,Library,Construction,Not related to SIPs,594036000,,True,2016,Audited Outcome,48700000,sports-arts-and-culture-national-archives-building-pretoria
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives building: Pretoria,Upgrade of existing building,"-25.732998, 28.205532",Upgrading and additions,Library,Construction,Not related to SIPs,594036000,,True,2017,Audited Outcome,23136000,sports-arts-and-culture-national-archives-building-pretoria
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives building: Pretoria,Upgrade of existing building,"-25.732998, 28.205532",Upgrading and additions,Library,Construction,Not related to SIPs,594036000,,True,2018,Audited Outcome,47786000,sports-arts-and-culture-national-archives-building-pretoria
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives building: Pretoria,Upgrade of existing building,"-25.732998, 28.205532",Upgrading and additions,Library,Construction,Not related to SIPs,594036000,,True,2019,Adjusted Appropriation,76000000,sports-arts-and-culture-national-archives-building-pretoria
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives building: Pretoria,Upgrade of existing building,"-25.732998, 28.205532",Upgrading and additions,Library,Construction,Not related to SIPs,594036000,,True,2020,MTEF,53830000,sports-arts-and-culture-national-archives-building-pretoria
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives building: Pretoria,Upgrade of existing building,"-25.732998, 28.205532",Upgrading and additions,Library,Construction,Not related to SIPs,594036000,,True,2021,MTEF,77602000,sports-arts-and-culture-national-archives-building-pretoria
National,"Sports, Arts and Culture",Economic Services and Infrastructure,National Archives building: Pretoria,Upgrade of existing building,"-25.732998, 28.205532",Upgrading and additions,Library,Construction,Not related to SIPs,594036000,,True,2022,MTEF,83674000,sports-arts-and-culture-national-archives-building-pretoria
National,Water and Sanitation,Economic Services and Infrastructure,Ndlambe bulk water supply,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-33.507450, 26.669874",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,879000000,,True,2016,Audited Outcome,119902000,water-and-sanitation-ndlambe-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Ndlambe bulk water supply,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-33.507450, 26.669874",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,879000000,,True,2017,Audited Outcome,17760000,water-and-sanitation-ndlambe-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Ndlambe bulk water supply,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-33.507450, 26.669874",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,879000000,,True,2018,Audited Outcome,2188000,water-and-sanitation-ndlambe-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Ndlambe bulk water supply,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-33.507450, 26.669874",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,879000000,,True,2019,Adjusted Appropriation,50000000,water-and-sanitation-ndlambe-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Ndlambe bulk water supply,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-33.507450, 26.669874",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,879000000,,True,2020,MTEF,60000000,water-and-sanitation-ndlambe-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Ndlambe bulk water supply,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-33.507450, 26.669874",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,879000000,,True,2021,MTEF,0,water-and-sanitation-ndlambe-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Ndlambe bulk water supply,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-33.507450, 26.669874",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,879000000,,True,2022,MTEF,0,water-and-sanitation-ndlambe-bulk-water-supply
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Nelspruit high court,Construction of a new building for the province,"-25.472578, 30.962462",New infrastructure assets,High Court,Construction,Not related to SIPs,1238392000,,True,2016,Audited Outcome,234308000,justice-and-constitutional-development-nelspruit-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Nelspruit high court,Construction of a new building for the province,"-25.472578, 30.962462",New infrastructure assets,High Court,Construction,Not related to SIPs,1238392000,,True,2017,Audited Outcome,118033000,justice-and-constitutional-development-nelspruit-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Nelspruit high court,Construction of a new building for the province,"-25.472578, 30.962462",New infrastructure assets,High Court,Construction,Not related to SIPs,1238392000,,True,2018,Audited Outcome,182405075,justice-and-constitutional-development-nelspruit-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Nelspruit high court,Construction of a new building for the province,"-25.472578, 30.962462",New infrastructure assets,High Court,Construction,Not related to SIPs,1238392000,,True,2019,Adjusted Appropriation,48958000,justice-and-constitutional-development-nelspruit-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Nelspruit high court,Construction of a new building for the province,"-25.472578, 30.962462",New infrastructure assets,High Court,Construction,Not related to SIPs,1238392000,,True,2020,MTEF,25000000,justice-and-constitutional-development-nelspruit-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Nelspruit high court,Construction of a new building for the province,"-25.472578, 30.962462",New infrastructure assets,High Court,Construction,Not related to SIPs,1238392000,,True,2021,MTEF,1000000,justice-and-constitutional-development-nelspruit-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Nelspruit high court,Construction of a new building for the province,"-25.472578, 30.962462",New infrastructure assets,High Court,Construction,Not related to SIPs,1238392000,,True,2022,MTEF,0,justice-and-constitutional-development-nelspruit-high-court
National,Water and Sanitation,Economic Services and Infrastructure,Nketoana bulk water supply phase 1,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-27.859950, 28.498897",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,316728000,,True,2016,Audited Outcome,19608000,water-and-sanitation-nketoana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Nketoana bulk water supply phase 1,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-27.859950, 28.498897",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,316728000,,True,2017,Audited Outcome,13120000,water-and-sanitation-nketoana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Nketoana bulk water supply phase 1,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-27.859950, 28.498897",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,316728000,,True,2018,Audited Outcome,1251000,water-and-sanitation-nketoana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Nketoana bulk water supply phase 1,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-27.859950, 28.498897",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,316728000,,True,2019,Adjusted Appropriation,50000000,water-and-sanitation-nketoana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Nketoana bulk water supply phase 1,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-27.859950, 28.498897",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,316728000,,True,2020,MTEF,80000000,water-and-sanitation-nketoana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Nketoana bulk water supply phase 1,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-27.859950, 28.498897",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,316728000,,True,2021,MTEF,50000000,water-and-sanitation-nketoana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Nketoana bulk water supply phase 1,Construction of new bulk water scheme and upgrading of existing bulk water scheme,"-27.859950, 28.498897",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,316728000,,True,2022,MTEF,50000000,water-and-sanitation-nketoana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Northern Nzikazi bulk water supply phase 1,Construction of new bulk water scheme,"-25.281043, 31.236184",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,404870000,,True,2016,Audited Outcome,120093000,water-and-sanitation-northern-nzikazi-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Northern Nzikazi bulk water supply phase 1,Construction of new bulk water scheme,"-25.281043, 31.236184",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,404870000,,True,2017,Audited Outcome,85726000,water-and-sanitation-northern-nzikazi-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Northern Nzikazi bulk water supply phase 1,Construction of new bulk water scheme,"-25.281043, 31.236184",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,404870000,,True,2018,Audited Outcome,23438000,water-and-sanitation-northern-nzikazi-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Northern Nzikazi bulk water supply phase 1,Construction of new bulk water scheme,"-25.281043, 31.236184",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,404870000,,True,2019,Adjusted Appropriation,30000000,water-and-sanitation-northern-nzikazi-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Northern Nzikazi bulk water supply phase 1,Construction of new bulk water scheme,"-25.281043, 31.236184",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,404870000,,True,2020,MTEF,25000000,water-and-sanitation-northern-nzikazi-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Northern Nzikazi bulk water supply phase 1,Construction of new bulk water scheme,"-25.281043, 31.236184",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,404870000,,True,2021,MTEF,65000000,water-and-sanitation-northern-nzikazi-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Northern Nzikazi bulk water supply phase 1,Construction of new bulk water scheme,"-25.281043, 31.236184",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,404870000,,True,2022,MTEF,60943000,water-and-sanitation-northern-nzikazi-bulk-water-supply-phase-1
National,Correctional Services,"Justice, Crime Prevention and Security",Parys correctional centre,"Provision of 176 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-26.900517, 27.457299",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,266393000,,True,2016,Audited Outcome,2311000,correctional-services-parys-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Parys correctional centre,"Provision of 176 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-26.900517, 27.457299",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,266393000,,True,2017,Audited Outcome,2980000,correctional-services-parys-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Parys correctional centre,"Provision of 176 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-26.900517, 27.457299",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,266393000,,True,2018,Audited Outcome,47031456.77,correctional-services-parys-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Parys correctional centre,"Provision of 176 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-26.900517, 27.457299",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,266393000,,True,2019,Adjusted Appropriation,81102000,correctional-services-parys-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Parys correctional centre,"Provision of 176 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-26.900517, 27.457299",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,266393000,,True,2020,MTEF,70948000,correctional-services-parys-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Parys correctional centre,"Provision of 176 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-26.900517, 27.457299",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,266393000,,True,2021,MTEF,50247000,correctional-services-parys-correctional-centre
National,Correctional Services,"Justice, Crime Prevention and Security",Parys correctional centre,"Provision of 176 additional beds, support amenities, and development and care facilities; and upgrade of existing dilapidated structures","-26.900517, 27.457299",Upgrading and additions,Correctional Centre,Design,Not related to SIPs,266393000,,True,2022,MTEF,0,correctional-services-parys-correctional-centre
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Plettenberg Bay magistrate’s office,Construction of a new building,"-34.0557274, 23.3658947",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,336997000,,True,2016,Audited Outcome,98386000,justice-and-constitutional-development-plettenberg-bay-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Plettenberg Bay magistrate’s office,Construction of a new building,"-34.0557274, 23.3658947",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,336997000,,True,2017,Audited Outcome,152962000,justice-and-constitutional-development-plettenberg-bay-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Plettenberg Bay magistrate’s office,Construction of a new building,"-34.0557274, 23.3658947",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,336997000,,True,2018,Audited Outcome,40805160,justice-and-constitutional-development-plettenberg-bay-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Plettenberg Bay magistrate’s office,Construction of a new building,"-34.0557274, 23.3658947",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,336997000,,True,2019,Adjusted Appropriation,6716000,justice-and-constitutional-development-plettenberg-bay-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Plettenberg Bay magistrate’s office,Construction of a new building,"-34.0557274, 23.3658947",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,336997000,,True,2020,MTEF,10000000,justice-and-constitutional-development-plettenberg-bay-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Plettenberg Bay magistrate’s office,Construction of a new building,"-34.0557274, 23.3658947",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,336997000,,True,2021,MTEF,5000000,justice-and-constitutional-development-plettenberg-bay-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Plettenberg Bay magistrate’s office,Construction of a new building,"-34.0557274, 23.3658947",New infrastructure assets,Magistrate Office,Construction,Not related to SIPs,336997000,,True,2022,MTEF,0,justice-and-constitutional-development-plettenberg-bay-magistrates-office
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Polokwane high court,Construction of a new building for the province,"-23.912923, 29.457599",New infrastructure assets,High Court,Complete,Not related to SIPs,1011233000,,True,2016,Audited Outcome,91403000,justice-and-constitutional-development-polokwane-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Polokwane high court,Construction of a new building for the province,"-23.912923, 29.457599",New infrastructure assets,High Court,Complete,Not related to SIPs,1011233000,,True,2017,Audited Outcome,77412000,justice-and-constitutional-development-polokwane-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Polokwane high court,Construction of a new building for the province,"-23.912923, 29.457599",New infrastructure assets,High Court,Complete,Not related to SIPs,1011233000,,True,2018,Audited Outcome,194891780,justice-and-constitutional-development-polokwane-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Polokwane high court,Construction of a new building for the province,"-23.912923, 29.457599",New infrastructure assets,High Court,Complete,Not related to SIPs,1011233000,,True,2019,Adjusted Appropriation,14330000,justice-and-constitutional-development-polokwane-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Polokwane high court,Construction of a new building for the province,"-23.912923, 29.457599",New infrastructure assets,High Court,Complete,Not related to SIPs,1011233000,,True,2020,MTEF,15000000,justice-and-constitutional-development-polokwane-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Polokwane high court,Construction of a new building for the province,"-23.912923, 29.457599",New infrastructure assets,High Court,Complete,Not related to SIPs,1011233000,,True,2021,MTEF,5000000,justice-and-constitutional-development-polokwane-high-court
National,Justice and Constitutional Development,"Justice, Crime Prevention and Security",Polokwane high court,Construction of a new building for the province,"-23.912923, 29.457599",New infrastructure assets,High Court,Complete,Not related to SIPs,1011233000,,True,2022,MTEF,0,justice-and-constitutional-development-polokwane-high-court
National,Water and Sanitation,Economic Services and Infrastructure,Pongolapoort bulk water supply (Pipeline),Construction of new bulk water scheme,"-27.504403, 32.064506",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1376048000,,True,2016,Audited Outcome,95261000,water-and-sanitation-pongolapoort-bulk-water-supply-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Pongolapoort bulk water supply (Pipeline),Construction of new bulk water scheme,"-27.504403, 32.064506",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1376048000,,True,2017,Audited Outcome,113648000,water-and-sanitation-pongolapoort-bulk-water-supply-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Pongolapoort bulk water supply (Pipeline),Construction of new bulk water scheme,"-27.504403, 32.064506",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1376048000,,True,2018,Audited Outcome,41239000,water-and-sanitation-pongolapoort-bulk-water-supply-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Pongolapoort bulk water supply (Pipeline),Construction of new bulk water scheme,"-27.504403, 32.064506",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1376048000,,True,2019,Adjusted Appropriation,3600000,water-and-sanitation-pongolapoort-bulk-water-supply-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Pongolapoort bulk water supply (Pipeline),Construction of new bulk water scheme,"-27.504403, 32.064506",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1376048000,,True,2020,MTEF,591000,water-and-sanitation-pongolapoort-bulk-water-supply-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Pongolapoort bulk water supply (Pipeline),Construction of new bulk water scheme,"-27.504403, 32.064506",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1376048000,,True,2021,MTEF,0,water-and-sanitation-pongolapoort-bulk-water-supply-pipeline
National,Water and Sanitation,Economic Services and Infrastructure,Pongolapoort bulk water supply (Pipeline),Construction of new bulk water scheme,"-27.504403, 32.064506",New infrastructure assets,Bulk Water Supply,Construction,SIP 6: Integrated municipal infrastructure project,1376048000,,True,2022,MTEF,0,water-and-sanitation-pongolapoort-bulk-water-supply-pipeline
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.100753, 26.307572",Rehabilitation and refurbishment,Military base,Construction,Not related to SIPs,3257571000,,True,2016,Audited Outcome,7334000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.100753, 26.307572",Rehabilitation and refurbishment,Military base,Construction,Not related to SIPs,3257571000,,True,2017,Audited Outcome,169273000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.100753, 26.307572",Rehabilitation and refurbishment,Military base,Construction,Not related to SIPs,3257571000,,True,2018,Audited Outcome,102879000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.100753, 26.307572",Rehabilitation and refurbishment,Military base,Construction,Not related to SIPs,3257571000,,True,2019,Adjusted Appropriation,71593000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.100753, 26.307572",Rehabilitation and refurbishment,Military base,Construction,Not related to SIPs,3257571000,,True,2020,MTEF,249230000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.100753, 26.307572",Rehabilitation and refurbishment,Military base,Construction,Not related to SIPs,3257571000,,True,2021,MTEF,301148000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.100753, 26.307572",Rehabilitation and refurbishment,Military base,Construction,Not related to SIPs,3257571000,,True,2022,MTEF,379915000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.096333, 26.181828",Rehabilitation and refurbishment,Military base,Various,Not related to SIPs,5797830000,,True,2016,Audited Outcome,63678000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.096333, 26.181828",Rehabilitation and refurbishment,Military base,Various,Not related to SIPs,5797830000,,True,2017,Audited Outcome,171646000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.096333, 26.181828",Rehabilitation and refurbishment,Military base,Various,Not related to SIPs,5797830000,,True,2018,Audited Outcome,152464000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.096333, 26.181828",Rehabilitation and refurbishment,Military base,Various,Not related to SIPs,5797830000,,True,2019,Adjusted Appropriation,83122000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.096333, 26.181828",Rehabilitation and refurbishment,Military base,Various,Not related to SIPs,5797830000,,True,2020,MTEF,43397000,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.096333, 26.181828",Rehabilitation and refurbishment,Military base,Various,Not related to SIPs,5797830000,,True,2021,MTEF,0,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military bases and units,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-29.096333, 26.181828",Rehabilitation and refurbishment,Military base,Various,Not related to SIPs,5797830000,,True,2022,MTEF,0,defence-refurbishment-of-military-bases-and-units
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military hospitals,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-34.004, 18.4546",New infrastructure assets,Hospital,Construction,Not related to SIPs,936152000,,True,2016,Audited Outcome,36844000,defence-refurbishment-of-military-hospitals
National,Defence,"Justice, Crime Prevention and Security",Refurbishment of military hospitals,"Refurbishment of existing brick and concrete buildings (comprising all structures), replacement of mechanical systems and ground works","-34.004, 18.4546",New infrastructure assets,Hospital,Construction,Not related to SIPs,936152000,,True,2017,Audited Outcome,145695000,defence-refurbishment-of-military-hospitals
